timestamp_ms,csv_idx,body_name,des_pos_x,des_pos_y,des_pos_z,act_pos_x,act_pos_y,act_pos_z,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,des_quat_w,des_quat_x,des_quat_y,des_quat_z,act_quat_w,act_quat_x,act_quat_y,act_quat_z,orient_err_angle
938,7,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993686,-0.053831,-0.098219,0.006614,0.999986,-0.004910,-0.002011,0.000112,0.216725
938,7,THUMB_EE,0.103479,0.073447,-0.008515,0.038060,0.102929,0.008046,0.065419,-0.029482,-0.016561,0.073641,0.810914,-0.501657,-0.121003,0.275910,0.647915,-0.659048,-0.265642,0.274402,0.539233
938,7,INDEX_EE,0.157729,0.004572,0.032414,0.155830,0.020360,0.033354,0.001899,-0.015788,-0.000940,0.015930,0.952279,-0.299961,-0.000933,-0.056468,0.999892,-0.004911,0.013832,0.000034,0.611413
938,7,MIDDLE_EE,0.160242,-0.038672,0.043338,0.164208,-0.039558,0.033356,-0.003966,0.000885,0.009982,0.010777,0.982983,-0.009760,-0.016166,-0.182727,0.991339,-0.002318,0.014745,-0.130474,0.123466
955,8,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993722,-0.053812,-0.097870,0.006596,0.999985,-0.005061,-0.002023,0.000113,0.215914
955,8,THUMB_EE,0.103482,0.073436,-0.008580,0.038067,0.102923,0.007957,0.065415,-0.029487,-0.016537,0.073635,0.810975,-0.501574,-0.120716,0.276016,0.647726,-0.659257,-0.265342,0.274635,0.539853
955,8,INDEX_EE,0.157752,0.004562,0.032305,0.155826,0.020369,0.033245,0.001926,-0.015807,-0.000940,0.015952,0.952282,-0.299970,-0.000584,-0.056388,0.999880,-0.005062,0.014647,0.000028,0.611138
955,8,MIDDLE_EE,0.160299,-0.038703,0.043008,0.164203,-0.039548,0.033233,-0.003904,0.000844,0.009776,0.010560,0.982962,-0.010368,-0.015567,-0.182860,0.991325,-0.002348,0.015616,-0.130478,0.124095
974,8,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993722,-0.053812,-0.097870,0.006596,0.999984,-0.005202,-0.002037,0.000113,0.215761
974,8,THUMB_EE,0.103482,0.073436,-0.008580,0.038073,0.102917,0.007870,0.065409,-0.029481,-0.016449,0.073607,0.810975,-0.501574,-0.120716,0.276016,0.647542,-0.659462,-0.265044,0.274866,0.539995
974,8,INDEX_EE,0.157752,0.004562,0.032305,0.155822,0.020378,0.033135,0.001930,-0.015816,-0.000830,0.015955,0.952282,-0.299970,-0.000584,-0.056388,0.999867,-0.005203,0.015469,0.000022,0.610940
974,8,MIDDLE_EE,0.160299,-0.038703,0.043008,0.164197,-0.039538,0.033107,-0.003898,0.000835,0.009901,0.010674,0.982962,-0.010368,-0.015567,-0.182860,0.991311,-0.002366,0.016497,-0.130482,0.124975
997,8,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993722,-0.053812,-0.097870,0.006596,0.999984,-0.005334,-0.002051,0.000114,0.215617
997,8,THUMB_EE,0.103482,0.073436,-0.008580,0.038079,0.102911,0.007784,0.065403,-0.029475,-0.016364,0.073580,0.810975,-0.501574,-0.120716,0.276016,0.647363,-0.659661,-0.264748,0.275095,0.540128
997,8,INDEX_EE,0.157752,0.004562,0.032305,0.155817,0.020386,0.033025,0.001935,-0.015824,-0.000720,0.015958,0.952282,-0.299970,-0.000584,-0.056388,0.999853,-0.005336,0.016298,0.000016,0.610765
997,8,MIDDLE_EE,0.160299,-0.038703,0.043008,0.164191,-0.039529,0.032980,-0.003892,0.000826,0.010029,0.010789,0.982962,-0.010368,-0.015567,-0.182860,0.991295,-0.002374,0.017386,-0.130486,0.125884
1017,9,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993701,-0.054200,-0.097879,0.006324,0.999983,-0.005457,-0.002066,0.000114,0.215831
